10.02,4.54,4.54,4.54,4.54,2
5.93,5.93,5.93,5.93,5.93,2
3.78,1.50,1.50,1.50,1.50,2
17.07,5.52,5.52,5.52,5.52,2
0.96,0.96,0.96,0.96,0.96,2
7.75,1.00,1.00,1.00,1.00,2
2.89,2.89,2.89,2.89,2.89,2
13.68,3.21,3.21,3.21,3.21,2
22.26,5.59,5.59,5.59,5.59,2
10.33,5.62,5.62,5.62,5.62,2
7.44,3.56,3.56,3.56,3.56,2
12.23,2.00,2.00,2.00,2.00,2
6.22,3.91,3.91,3.91,3.91,2
1.75,1.43,1.43,1.43,1.43,2
4.70,4.70,4.70,4.70,4.70,2
6.34,2.42,2.42,2.42,2.42,2
17.69,6.99,6.99,6.99,6.99,2
999999999,12.52,12.52,12.52,12.52,2
11.10,5.31,5.31,5.31,5.31,2
999999999,4.81,4.81,4.81,4.81,2
4.36,1.57,1.57,1.57,1.57,2
15.51,0.16,0.16,0.16,0.16,2
1.17,1.17,1.17,1.17,1.17,2
13.83,0.48,0.48,0.48,0.48,2
3.43,0.74,0.74,0.74,0.74,2
10.65,6.14,6.14,6.14,6.14,2
11.67,9.36,9.36,9.36,9.36,2
11.53,3.48,3.48,3.48,3.48,2
32.59,9.94,9.94,9.94,9.94,2
35.61,2.40,2.40,2.40,2.40,2
7.40,4.40,4.40,4.40,4.40,2
18.76,2.63,2.63,2.63,2.63,2
8.55,5.33,5.33,5.33,5.33,2
7.76,3.70,3.70,3.70,3.70,2
10.43,7.12,7.12,7.12,7.12,2
5.98,0.57,0.57,0.57,0.57,2
35.70,4.48,4.48,4.48,4.48,2
10.68,1.97,1.97,1.97,1.97,2
9.85,4.58,4.58,4.58,4.58,2
10.62,5.49,5.49,5.49,5.49,2
999999999,14.07,14.07,14.07,14.07,2
8.97,5.11,5.11,5.11,5.11,2
21.10,3.69,3.69,3.69,3.69,2
15.64,0.24,0.24,0.24,0.24,2
3.51,3.51,3.51,3.51,3.51,2
9.87,2.33,2.33,2.33,2.33,2
999999999,2.47,2.47,2.47,2.47,2
6.85,0.87,0.87,0.87,0.87,2
5.96,2.51,2.51,2.51,2.51,2
8.95,3.54,3.54,3.54,3.54,2
3.27,1.72,1.72,1.72,1.72,2
8.14,1.80,1.80,1.80,1.80,2
8.14,2.25,2.25,2.25,2.25,2
1.13,1.13,1.13,1.13,1.13,2
7.04,3.48,3.48,3.48,3.48,2
16.13,0.60,0.60,0.60,0.60,2
1.22,1.22,1.22,1.22,1.22,2
7.39,7.39,7.39,7.39,7.39,2
5.83,4.02,4.02,4.02,4.02,2
20.25,13.19,13.19,13.19,13.19,2
1.89,1.89,1.89,1.89,1.89,2
9.42,8.86,8.86,8.86,8.86,2
5.44,3.51,3.51,3.51,3.51,2
12.33,7.22,7.22,7.22,7.22,2
999999999,3.44,3.44,3.44,3.44,2
12.17,3.34,3.34,3.34,3.34,2
6.99,0.32,0.32,0.32,0.32,2
2.07,1.20,1.20,1.20,1.20,2
15.16,6.71,6.71,6.71,6.71,2
2.63,0.60,0.60,0.60,0.60,2
1.92,1.17,1.17,1.17,1.17,3
16.20,5.62,5.62,5.62,5.62,3
20.25,5.98,5.98,5.98,5.98,3
4.68,2.90,2.90,2.90,2.90,3
5.75,0.00,0.00,0.00,0.00,3
16.91,0.68,0.68,0.68,0.68,3
11.11,1.10,1.10,1.10,1.10,3
12.23,4.37,4.37,4.37,4.37,3
1.22,0.00,0.00,0.00,0.00,3
11.26,6.00,6.00,6.00,6.00,3
6.11,4.24,4.24,4.24,4.24,3
13.87,6.19,6.19,6.19,6.19,3
7.26,2.67,2.67,2.67,2.67,3
5.66,3.74,3.74,3.74,3.74,3
13.80,8.12,8.12,8.12,8.12,3
11.06,2.39,2.39,2.39,2.39,3
3.20,0.29,0.29,0.29,0.29,3
0.95,0.95,0.95,0.95,0.95,3
7.01,0.47,0.47,0.47,0.47,3
5.87,3.02,3.02,3.02,3.02,3
23.54,13.65,13.65,13.65,13.65,3
22.87,1.91,1.91,1.91,1.91,3
21.90,3.32,3.32,3.32,3.32,3
999999999,999999999,999999999,999999999,999999999,3
27.80,1.63,1.63,1.63,1.63,3
6.36,0.33,0.33,0.33,0.33,3
20.44,3.20,3.20,3.20,3.20,3
9.09,9.09,9.09,9.09,9.09,3
6.72,1.82,1.82,1.82,1.82,3
13.52,1.89,1.89,1.89,1.89,3
4.55,2.24,2.24,2.24,2.24,3
19.77,1.45,1.45,1.45,1.45,3
4.89,0.80,0.80,0.80,0.80,3
13.03,4.34,4.34,4.34,4.34,3
15.60,4.03,4.03,4.03,4.03,3
20.47,4.39,4.39,4.39,4.39,3
4.53,0.91,0.91,0.91,0.91,3
16.75,4.47,4.47,4.47,4.47,3
1.29,0.68,0.68,0.68,0.68,3
7.41,0.79,0.79,0.79,0.79,3
6.40,6.40,6.40,6.40,6.40,3
4.24,4.24,4.24,4.24,4.24,3
10.17,10.17,10.17,10.17,10.17,3
5.60,5.60,5.60,5.60,5.60,3
6.06,6.06,6.06,6.06,6.06,3
6.59,3.21,3.21,3.21,3.21,3
4.20,2.51,2.51,2.51,2.51,3
24.12,9.72,9.72,9.72,9.72,3
14.96,10.48,10.48,10.48,10.48,3
16.74,10.48,10.48,10.48,10.48,3
4.19,2.30,2.30,2.30,2.30,3
12.13,2.42,2.42,2.42,2.42,3
6.42,3.71,3.71,3.71,3.71,3
15.96,1.18,1.18,1.18,1.18,3
5.69,3.82,3.82,3.82,3.82,3
2.78,1.33,1.33,1.33,1.33,3
13.13,4.86,4.86,4.86,4.86,3
2.93,2.93,2.93,2.93,2.93,3
5.75,5.75,5.75,5.75,5.75,3
8.92,1.28,1.28,1.28,1.28,3
16.92,3.77,3.77,3.77,3.77,3
19.66,9.48,9.48,9.48,9.48,3
5.16,1.78,1.78,1.78,1.78,3
23.24,2.22,2.22,2.22,2.22,3
1.11,0.42,0.42,0.42,0.42,3
999999999,4.71,4.71,4.71,4.71,3
8.47,6.71,6.71,6.71,6.71,3
12.81,5.02,5.02,5.02,5.02,3
9.79,5.01,5.01,5.01,5.01,3
7.90,2.17,2.17,2.17,2.17,3
31.21,9.03,9.03,9.03,9.03,3
4.24,4.24,4.24,4.24,4.24,3
9.98,0.00,0.00,0.00,0.00,3
4.16,3.82,3.82,3.82,3.82,3
2.58,2.58,2.58,2.58,2.58,3
2.39,2.08,2.08,2.08,2.08,3
18.35,4.06,4.06,4.06,4.06,3
12.59,1.03,1.03,1.03,1.03,3
24.69,3.70,3.70,3.70,3.70,3
5.03,5.03,5.03,5.03,5.03,3
12.06,7.74,7.74,7.74,7.74,3
6.31,3.31,3.31,3.31,3.31,3
11.91,3.03,3.03,3.03,3.03,3
8.10,5.19,5.19,5.19,5.19,3
10.16,10.16,10.16,10.16,10.16,3
8.16,2.41,2.41,2.41,2.41,3
10.43,3.50,3.50,3.50,3.50,3
6.29,4.36,4.36,4.36,4.36,3
999999999,7.34,7.34,7.34,7.34,3
16.65,2.04,2.04,2.04,2.04,3
7.18,7.18,7.18,7.18,7.18,3
8.24,8.24,8.24,8.24,8.24,3
10.79,1.73,1.73,1.73,1.73,3
11.19,8.05,8.05,8.05,8.05,3
9.62,1.71,1.71,1.71,1.71,3
6.81,6.81,6.81,6.81,6.81,3
11.95,9.79,9.79,9.86,9.79,3
3.07,0.89,0.89,0.89,0.89,3
6.49,0.81,0.81,0.81,0.81,3
8.40,1.65,1.66,1.65,1.65,4
11.25,4.51,4.51,4.51,4.51,4
14.88,2.05,2.05,2.05,2.05,4
7.37,4.61,5.44,4.61,4.61,4
6.18,4.51,4.51,4.51,4.51,4
7.41,5.80,5.80,5.80,5.80,4
6.42,0.00,0.00,0.00,0.00,4
18.38,1.63,1.63,1.63,1.63,4
7.01,5.96,5.96,5.96,5.96,4
4.58,4.58,4.58,4.58,4.58,4
11.46,1.78,1.78,1.78,1.78,4
21.87,5.14,5.14,5.14,5.14,4
13.97,3.46,3.46,3.46,3.46,4
17.26,9.60,9.60,9.60,9.60,4
4.29,3.32,3.32,3.32,3.32,4
20.87,10.45,10.45,10.45,10.45,4
27.62,1.57,1.57,1.57,1.57,4
9.52,4.27,4.27,4.27,4.27,4
10.66,1.19,1.19,1.19,1.19,4
8.33,5.12,5.12,5.12,5.12,4
14.80,1.82,1.82,1.82,1.82,4
16.46,0.99,0.99,0.99,0.99,4
13.03,4.69,4.69,4.69,4.69,4
8.22,8.22,8.22,8.22,8.22,4
21.33,20.77,21.20,20.86,20.90,4
6.72,2.34,2.34,2.34,2.34,4
9.42,3.80,3.80,3.80,3.80,4
9.54,3.25,3.25,3.25,3.25,4
13.93,6.01,6.01,6.01,6.01,4
11.03,9.24,9.24,9.24,9.24,4
20.52,5.32,5.32,5.32,5.32,4
9.29,1.24,1.24,1.24,1.24,4
13.82,1.62,1.62,1.62,1.62,4
6.55,6.55,6.55,6.55,6.55,4
14.93,6.20,6.20,6.20,6.20,4
4.79,1.84,1.84,1.84,1.84,4
12.26,7.18,7.18,7.18,7.18,4
6.05,2.62,2.62,2.62,2.62,4
10.88,1.39,1.39,1.39,1.39,4
14.65,11.10,11.10,11.10,11.10,4
6.86,3.34,3.34,3.34,3.34,4
4.68,4.68,4.68,4.68,4.68,4
14.81,0.24,0.24,0.24,0.24,4
