80,200,200,800,24.93,14.57,15.46,14.57,14.57,14.57
90,200,200,800,23.53,13.23,15.43,13.63,13.23,13.23
100,200,200,800,23.71,13.88,16.24,14.04,13.88,13.88
10,200,200,800,47.2,18.85,18.85,18.85,18.85,18.85
20,200,200,800,43.51,31.5,31.5,31.5,31.5,31.5
30,200,200,800,46.93,33.09,33.48,33.09,33.09,33.09
40,200,200,800,47.59,34.06,34.33,34.06,34.06,34.06
50,200,200,800,44.88,32.49,32.67,32.49,32.49,32.49
60,200,200,800,43.38,31.4,32.87,31.67,31.4,31.4
70,200,200,800,45.47,32.91,34.58,32.91,32.91,32.91
80,200,200,800,43.68,31.62,33.65,31.83,31.62,31.62
90,200,200,800,46.47,33.63,36.12,33.71,33.63,33.63
100,200,200,800,44.2,31.99,34.76,32.15,31.99,31.99
10,200,200,800,22.27,0.41,0.41,0.41,0.41,0.41
20,200,200,800,23.18,5.84,5.84,5.84,5.84,5.84
30,200,200,800,22.23,16.13,16.13,16.13,16.13,16.13
40,200,200,800,22.01,20,20,20,20,20
50,200,200,800,22.19,21.2,21.2,21.2,21.2,21.2
60,200,200,800,21.32,20.6,20.6,20.6,20.6,20.6
70,200,200,800,22.18,20.96,20.96,20.96,20.96,20.96
80,200,200,800,22.16,19.98,20.32,19.98,19.98,19.98
90,200,200,800,22.1,22.1,22.1,22.1,22.1,22.1
100,200,200,800,22.92,22.92,22.92,22.92,22.92,22.92
10,200,200,800,39.7,11.65,11.65,11.65,11.65,11.65
20,200,200,800,44.95,10.68,10.68,10.68,10.68,10.68
30,200,200,800,40.53,10.73,11.2,10.73,10.73,10.73
40,200,200,800,36.95,11.3,11.61,11.3,11.3,11.3
50,200,200,800,40.29,13.9,14.96,13.9,13.9,13.9
60,200,200,800,39.16,12.47,15.39,12.65,12.47,12.47
70,200,200,800,39.99,13.66,16.06,13.66,13.66,13.66
80,200,200,800,36.24,14.41,18.08,15.14,14.41,14.41
90,200,200,800,36.83,15.41,19.34,15.99,15.44,15.41
100,200,200,800,37.91,17.03,23.57,18.03,17.26,17.14
10,200,200,800,47.59,22.48,22.48,22.48,22.48,22.48
20,200,200,800,37.95,11.38,17.63,11.38,11.38,11.38
30,200,200,800,43.95,13.83,25.87,15.72,13.83,13.83
40,200,200,800,42.77,13.55,31.5,20.83,14.5,13.55
50,200,200,800,43.78,13.17,36.27,26.03,19.24,15.18
60,200,200,800,42.89,14.37,37.75,29.06,21.9,17.21
70,200,200,800,46.46,12.97,40.08,32.98,26.46,19.98
80,200,200,800,43.4,14.59,39.99,34.09,27.34,21.88
90,200,200,800,43.3,14.28,39.56,33.69,28.93,24.31
100,200,200,800,43.43,13.21,40.43,35.39,29.57,24.89
10,200,200,800,18.38,12.08,12.08,12.08,12.08,12.08
20,200,200,800,17.19,17.19,17.19,17.19,17.19,17.19
30,200,200,800,17.85,17.85,17.85,17.85,17.85,17.85
40,200,200,800,16.64,16.64,16.64,16.64,16.64,16.64
50,200,200,800,16.81,16.81,16.81,16.81,16.81,16.81
60,200,200,800,16.56,16.56,16.56,16.56,16.56,16.56
70,200,200,800,17.1,17.1,17.1,17.1,17.1,17.1
80,200,200,800,16.69,16.69,16.69,16.69,16.69,16.69
90,200,200,800,16.77,16.77,16.77,16.77,16.77,16.77
100,200,200,800,16.85,16.85,16.85,16.85,16.85,16.85
10,200,200,800,31.53,8.21,8.21,8.21,8.21,8.21
20,200,200,800,33.54,6.89,6.89,6.89,6.89,6.89
